star_name,TSS_tier,ra,dec,sy_pmra,sy_pmdec,tic_id,gaia_dr3_id,hip_name,hd_name,tm_name,gj_name,simbad_name,sy_plx,sy_dist,st_lum,sy_vmag
TIC 117979951,1,71.90121566837,-16.93445609231,130.26356047105878,169.33843237165158,117979951,2980492387558410112,22263,HD 30495,2MASS J04473628-1656041,GJ 177,*  58 Eri,75.52889944115644,13.234411239624023,-0.0150368728219751,5.5
TIC 332064670,1,133.14921386944,28.33082136147,-485.6808133468651,-233.5170052934288,332064670,704967037090946688,43587,HD 75732,2MASS J08523579+2819509,GJ 324 A,* rho01 Cnc,79.44818375718161,12.580838203430176,-0.1972745832530103,5.951
TIC 262843771,1,52.34449320559,-62.93753012062,382.537613650981,373.5887523521531,262843771,4674061076849768832,16245,HD 22001,2MASS J03292266-6256152,GJ 9118 A,* kap Ret,45.91029359414274,21.773916244506836,0.6913160610534592,4.71
TIC 416519065,1,157.6565848646,55.98053789365,-177.04479764181383,-32.633709910609426,416519065,853819947756949120,51459,HD 90839,2MASS J10303759+5558501,GJ 395,*  36 UMa,77.24853141451939,12.941956520080566,0.2113407090502143,4.82
TIC 302188141,1,125.01608623504,27.21770733284,-17.475402055327848,-377.0719170606808,302188141,683184784030475520,40843,HD 69897,2MASS J08200385+2713038,GJ 303,* chi Cnc,54.87485522018729,18.209083557128903,0.3843808077516183,5.132
TIC 121078878,1,56.712036479,-23.24972143005,-159.91989296143683,-529.6464279832751,121078878,5087043657197267200,17651,HD 23754,2MASS J03465090-2314585,GJ 155,* tau06 Eri,56.228101065104696,17.777544021606445,0.7120397393991079,4.2
TIC 1674663308,1,271.36442594947,2.49895097735,333.2920983081072,-1068.353909555673,1674663308,4468557611977674496,null,HD 165341B,null,GJ 702 B,*  70 Oph B,195.8563315317051,5.104329586029053,-0.7907738852549034,6.07
TIC 70847587,1,2.93341997763,-35.1331199934,171.2981178818337,125.4361281617478,70847587,2309813109479463040,950,HD 739,2MASS J00114399-3507593,GJ 3013,* tet Scl,46.04253083982935,21.705833435058594,0.4842255728212187,5.239
TIC 69889261,1,338.67348626214,-20.70821514763,221.18479846169237,-147.09019898435704,69889261,6628926642897745664,111449,HD 213845,2MASS J22344161-2042293,GJ 9789,* ups Aqr,43.43963778245328,23.010005950927734,0.5413337436195664,5.203
TIC 217157387,1,259.76598968925,-46.63623370024,1029.6095441964617,106.93496669702824,217157387,5951165616611763456,84720,HD 156274,2MASS J17190373-4638109,GJ 666 A,*  41 Ara,113.75134443945775,8.788938522338867,-0.3365632088815103,5.48
TIC 350673608,1,246.00537748779,-39.19298183644,73.7483592823494,3.3665386250642886,350673608,6018047019138644480,80337,HD 147513,2MASS J16240128-3911346,GJ 9559,HD 147513,77.56546482061312,12.888324737548828,-0.0006632998663193,5.376
TIC 458494003,1,240.26108668863,33.30351173539,-198.27831508830613,-772.2452745156925,458494003,1323427759184545536,78459,HD 143761,2MASS J16010264+3318124,GJ 9537,* rho CrB,57.107641921520774,17.499614715576172,0.2597879345789026,5.408
TIC 289673491,1,2.81604541137,-15.46798354267,-82.82753394668673,-269.54931904691836,289673491,2416611663182821120,910,HD 693,2MASS J00111587-1528043,GJ 10,*   6 Cet,52.94889167785683,18.87725257873535,0.5188810838690476,4.89
TIC 79841001,1,259.05567807409,-26.54614810103,-479.57323273959537,-1124.331683365442,79841001,4109034455276324608,84478,HD 156026,2MASS J17161340-2632444,GJ 664.0,V* V2215 Oph,167.9616795430231,5.95277214050293,-0.8021542610180918,6.34
TIC 80226651,1,103.82777793864,25.37569550081,-37.59497086966134,24.233724290764933,80226651,3381727613874753536,33277,HD 50692,2MASS J06551867+2522320,GJ 252,*  37 Gem,57.45588658838684,17.396427154541016,0.1084709789017899,5.748
